ZONA;Ônibus;Transporte Fretado;Transporte Escolar;Dirigindo Automóvel;Táxi;Metrô;Trem;Moto;Bicicleta;A pé;Outros;Total
1;37144,04;545,37;274,79;22256,14;1614,12;65675,06;2473,21;3054,22;374,44;26770,47;0,00;160181,86
2;36404,92;264,36;1192,08;23956,64;844,67;37122,96;3913,68;1294,59;195,90;13827,00;83,01;119099,81
3;11121,35;510,91;90,08;10194,07;477,83;16651,23;0,00;290,04;90,08;17509,54;0,00;56935,13
4;20713,12;935,92;66,50;19183,48;971,93;18534,82;574,98;566,04;380,35;24208,22;0,00;86135,36
5;48002,02;302,84;227,40;22577,36;1018,59;59550,76;2437,00;2248,23;133,00;40997,17;0,00;177494,37
6;31317,66;247,48;158,40;19766,08;362,05;16901,33;9423,33;1653,79;363,67;14943,87;0,00;95137,66
7;20518,73;873,91;609,78;19023,67;281,06;26834,87;13158,28;1900,32;530,88;21466,10;0,00;105197,61
8;5472,47;338,85;45,03;7426,70;121,77;3080,60;1328,59;1758,95;26,28;6923,01;0,00;26522,24
9;7509,18;669,52;150,38;7326,59;21,06;9868,09;1056,43;205,14;178,95;5236,27;0,00;32221,62
10;2489,34;0,00;1301,62;5267,74;0,00;3233,83;546,36;910,98;79,63;3682,14;455,66;17967,29
11;1174,61;12,22;102,61;1875,59;24,43;698,63;36,65;888,61;81,20;1789,30;455,66;7139,50
12;9474,91;200,05;256,11;16404,47;150,04;4743,52;4130,88;1075,97;256,16;10959,84;0,00;47651,94
13;5136,69;7,28;9,09;3540,04;8,73;1009,23;3443,92;861,96;0,00;3423,21;0,00;17440,16
14;18338,67;846,09;20,21;10398,65;0,00;9357,92;9646,70;118,27;19,77;7465,43;0,00;56211,70
15;3614,57;36,43;482,98;5262,15;71,01;5519,46;771,67;259,53;35,51;7329,06;0,00;23382,38
16;8919,99;56,87;114,71;8899,75;113,74;7070,66;2054,59;635,17;41,63;7783,62;0,00;35690,71
17;4048,66;508,68;238,69;6095,42;66,14;4942,28;1493,86;88,75;212,13;2749,49;0,00;20444,09
18;16274,08;0,00;533,15;15201,29;257,29;4947,34;4232,95;759,08;492,69;12761,67;0,00;55459,55
19;9047,30;0,00;1039,21;17421,48;158,81;5455,00;0,00;844,18;80,83;9019,93;90,20;43156,93
20;8795,73;5,86;441,59;10699,45;875,93;5356,32;754,70;337,55;114,88;8935,39;0,00;36317,41
21;3748,36;106,98;221,49;17900,04;433,70;4002,93;0,00;664,14;116,57;7315,82;0,00;34510,02
22;5264,22;0,00;254,70;8374,79;58,20;8468,15;160,93;1403,29;57,96;6301,65;0,00;30343,89
23;4984,83;36,92;33,54;11638,41;0,00;20893,16;420,59;1863,05;33,54;5580,01;0,00;45484,04
24;11106,61;0,00;198,75;16318,10;316,67;34443,97;1364,10;709,84;537,28;18971,53;0,00;83966,83
